source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	1	AOD1.2.1	Identify how household products are harmful if intentionally inhaled or absorbed.	HBO 1
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	2	AOD1.2.2	Differentiate between candy or other household substances (e.g., laundry pods) and other medications.	HBO 1
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	3	AOD1.2.3	Describe how to use medications correctly.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	4	AOD1.2.4	Describe the importance of adult supervision of medication use.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	5	AOD1.2.5	Explain the harmful effects of medications when used incorrectly.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	6	AOD1.2.6	Describe the potential risks associated with use of over-the-counter medications.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	7	AOD1.2.7	Differentiate between helpful medications (e.g., acetaminophen, antibiotics) and harmful drugs (e.g., alcohol, nicotine).	HBO 1|HBO 3|HBO 4
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	8	AOD1.2.8	Identify school rules about use of medications.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	2	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	1	AOD1.5.1	would represent Alcohol and Other Drugs, standard 1, grade span 3-5, knowledge expectation item 1. Directions for Standard 1 1. Review the knowledge expectations (pages AOD-3 through AOD-9). 2. Decide if any knowledge expectations need to be deleted or modified, or if any additional expectations should be added to meet the needs of the community or to conform to curriculum requirements of the state or school district. Review other standards before making changes to the knowledge expectations in Standard 1. Some knowledge expectations may be reflected in the skill expectations in Standards 2-8, and some might be found in other health topic modules. Look in other related topic modules for knowledge expectations that might be edited and added to the list of knowledge expectations for this topic. 3. Read the curriculum to become familiar with its content, the information provided for students, and the methods used to convey information and knowledge content. 4. Place a check in the box next to each knowledge expectation that is addressed by the curriculum and determine the Knowledge Expectations Coverage Score. Important-a knowledge expectation is “addressed” if there is sufficient information provided in the curriculum for students to be able to demonstrate understanding of this concept. Some knowledge expectations might require more evidence than others. 5. Transfer the Knowledge Expectations Coverage Score to the appropriate line on the Overall Summary Form (Chapter 3). 6. Record notes to justify scores and to inform group discussions and curriculum decisions. 7. Analyze Standard 1 for each curriculum being reviewed. If the curriculum addresses more than one grade span, complete a separate analysis of Standard 1 for each span. 8. Complete a separate Overall Summary Form for each curriculum and grade span. Instructions for Standards 2-8 are provided on page AOD-10. ﻿Knowledge Expectations Grades Pre-K-2 2021 HECAT: Module AOD AOD-3 Standard 1 Students will comprehend concepts related to health promotion and disease prevention. for establishing and maintaining an alcohol- and drug-free lifestyle. knowledge expectation addressed in the curriculum.	
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	1	AOD1.5.1	Explain why household products are harmful if intentionally inhaled or absorbed.	HBO 1
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	2	AOD1.5.2	Define over-the-counter medication (e.g., something you can buy off the store shelf) and prescription medication.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	3	AOD1.5.3	Explain the benefits of medications when used correctly.	HBO 1|HBO 2
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	4	AOD1.5.4	Explain how to use medications correctly.	HBO 1|HBO 2
